id,taxonomy,kingdom,phylum,class,order,family,genus,species
OTU1,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__[Exiguobacteraceae]; g__; s__,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__[Exiguobacteraceae], g__, s__
OTU10,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Salinimicrobium; s__,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae, g__Salinimicrobium, s__
OTU100,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__Owenweeksia; s__,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Cryomorphaceae, g__Owenweeksia, s__
OTU1000,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__SJA-101; g__; s__,k__Bacteria, p__Chloroflexi, c__Anaerolineae, o__SBR1031, f__SJA-101, g__, s__
OTU10000,k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__Candidatus Xiphinematobacter; s__,k__Bacteria, p__Verrucomicrobia, c__[Spartobacteria], o__[Chthoniobacterales], f__[Chthoniobacteraceae], g__Candidatus Xiphinematobacter, s__
OTU10001,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Pontibacter; s__,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae, g__Pontibacter, s__
OTU10002,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__; s__,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Alcaligenaceae, g__, s__
OTU10005,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Spirobacillales; f__; g__; s__,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Spirobacillales, f__, g__, s__
OTU10006,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__; g__; s__,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__, g__, s__
OTU10007,k__Bacteria; p__OD1; c__; o__; f__; g__; s__,k__Bacteria, p__OD1, c__, o__, f__, g__, s__
OTU10008,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Phascolarctobacterium; s__,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Veillonellaceae, g__Phascolarctobacterium, s__
OTU10009,k__Bacteria; p__Spirochaetes; c__[Leptospirae]; o__[Leptospirales]; f__Leptospiraceae; g__Turneriella; s__,k__Bacteria, p__Spirochaetes, c__[Leptospirae], o__[Leptospirales], f__Leptospiraceae, g__Turneriella, s__
OTU1001,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Paenibacillaceae, g__Paenibacillus, s__
OTU10010,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales,,,
OTU10011,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,
OTU10012,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__; f__; g__; s__,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__, f__, g__, s__
OTU10013,k__Bacteria; p__TM6; c__SJA-4; o__; f__; g__; s__,k__Bacteria, p__TM6, c__SJA-4, o__, f__, g__, s__
OTU10014,k__Bacteria; p__Verrucomicrobia; c__Verruco-5; o__SS1-B-03-39; f__; g__; s__,k__Bacteria, p__Verrucomicrobia, c__Verruco-5, o__SS1-B-03-39, f__, g__, s__
OTU10015,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Luteolibacter; s__,k__Bacteria, p__Verrucomicrobia, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Verrucomicrobiaceae, g__Luteolibacter, s__
OTU10017,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__Owenweeksia; s__,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Cryomorphaceae, g__Owenweeksia, s__
OTU10018,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__NB1-j; f__JTB38; g__; s__,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__NB1-j, f__JTB38, g__, s__
OTU10019,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Halomonadaceae, g__Halomonas, s__
OTU1002,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Caldilineales; f__Caldilineaceae; g__; s__,k__Bacteria, p__Chloroflexi, c__Anaerolineae, o__Caldilineales, f__Caldilineaceae, g__, s__
OTU10020,k__Bacteria; p__Chlamydiae; c__Chlamydiia; o__Chlamydiales,k__Bacteria, p__Chlamydiae, c__Chlamydiia, o__Chlamydiales,,,
OTU10022,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,
OTU10023,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__,k__Bacteria, p__Actinobacteria, c__Thermoleophilia, o__Solirubrobacterales, f__, g__, s__
OTU10024,k__Bacteria; p__Chlamydiae; c__Chlamydiia; o__Chlamydiales; f__Parachlamydiaceae; g__Parachlamydia; s__,k__Bacteria, p__Chlamydiae, c__Chlamydiia, o__Chlamydiales, f__Parachlamydiaceae, g__Parachlamydia, s__
OTU10025,k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__; s__,k__Bacteria, p__Planctomycetes, c__Phycisphaerae, o__Phycisphaerales, f__Phycisphaeraceae, g__, s__
OTU10026,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Caldilineales; f__Caldilineaceae; g__; s__,k__Bacteria, p__Chloroflexi, c__Anaerolineae, o__Caldilineales, f__Caldilineaceae, g__, s__
OTU10027,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__A4b; g__; s__,k__Bacteria, p__Chloroflexi, c__Anaerolineae, o__SBR1031, f__A4b, g__, s__
OTU1003,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales,,,
OTU10031,k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__,k__Bacteria, p__OD1, c__ZB2, o__, f__, g__, s__
OTU10032,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__; s__,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Legionellales, f__Legionellaceae, g__, s__
OTU10033,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,,
OTU10034,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__FAC87; f__; g__; s__,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__FAC87, f__, g__, s__
OTU10035,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__; s__,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__, s__
OTU10036,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Colwelliaceae; g__; s__,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Colwelliaceae, g__, s__
OTU10037,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Spirobacillales; f__; g__; s__,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Spirobacillales, f__, g__, s__
OTU10038,k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__,k__Bacteria, p__OD1, c__ZB2, o__, f__, g__, s__
OTU10039,k__Bacteria; p__Proteobacteria; c__TA18; o__PHOS-HD29; f__; g__; s__,k__Bacteria, p__Proteobacteria, c__TA18, o__PHOS-HD29, f__, g__, s__
OTU1004,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Gemmatales, f__Gemmataceae, g__, s__
OTU10040,k__Bacteria,k__Bacteria,,,,,,
OTU10041,k__Bacteria; p__Armatimonadetes; c__[Fimbriimonadia]; o__[Fimbriimonadales]; f__[Fimbriimonadaceae]; g__Fimbriimonas; s__,k__Bacteria, p__Armatimonadetes, c__[Fimbriimonadia], o__[Fimbriimonadales], f__[Fimbriimonadaceae], g__Fimbriimonas, s__
OTU10043,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__, g__, s__
OTU10044,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__RB40; g__; s__,k__Bacteria, p__Acidobacteria, c__Acidobacteria-6, o__iii1-15, f__RB40, g__, s__
OTU10046,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,
OTU10047,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Paenibacillaceae, g__Paenibacillus, s__
OTU10048,k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__,k__Bacteria, p__OD1, c__ZB2, o__, f__, g__, s__
OTU10049,k__Bacteria; p__Chlorobi; c__BSV26; o__VC38; f__; g__; s__,k__Bacteria, p__Chlorobi, c__BSV26, o__VC38, f__, g__, s__
OTU10050,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__; s__,k__Bacteria, p__Bacteroidetes, c__[Saprospirae], o__[Saprospirales], f__Saprospiraceae, g__, s__
OTU10051,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae; g__Planctomyces; s__,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Planctomycetales, f__Planctomycetaceae, g__Planctomyces, s__
OTU10052,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Bdellovibrionales, f__Bdellovibrionaceae, g__Bdellovibrio, s__
OTU10053,k__Bacteria; p__OP11; c__OP11-3; o__; f__; g__; s__,k__Bacteria, p__OP11, c__OP11-3, o__, f__, g__, s__
OTU10054,k__Bacteria; p__Gemmatimonadetes; c__Gemm-5; o__; f__; g__; s__,k__Bacteria, p__Gemmatimonadetes, c__Gemm-5, o__, f__, g__, s__
OTU10055,k__Bacteria; p__OD1; c__SM2F11; o__; f__; g__; s__,k__Bacteria, p__OD1, c__SM2F11, o__, f__, g__, s__
OTU10057,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Rickettsiaceae,,
OTU10058,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Paludibacter; s__,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Paludibacter, s__
OTU10059,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Sva0853; f__; g__; s__,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Sva0853, f__, g__, s__
OTU10060,k__Bacteria; p__[Thermi]; c__Deinococci; o__Deinococcales; f__Trueperaceae; g__B-42; s__,k__Bacteria, p__[Thermi], c__Deinococci, o__Deinococcales, f__Trueperaceae, g__B-42, s__
OTU10061,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Salinimicrobium; s__,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae, g__Salinimicrobium, s__
OTU10062,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bacteriovoracaceae; g__; s__,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Bdellovibrionales, f__Bacteriovoracaceae, g__, s__
