id,taxonomy,kingdom,phylum,class,order,family,genus
OTU1,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__unidentified,k__Fungi, p__Ascomycota, c__Eurotiomycetes, o__Eurotiales, f__Trichocomaceae, g__unidentified
OTU100,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus,k__Fungi, p__Ascomycota, c__Eurotiomycetes, o__Eurotiales, f__Trichocomaceae, g__Aspergillus
OTU1000,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__Eurotiomycetes, o__unidentified, f__unidentified, g__unidentified
OTU10002,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10007,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU1001,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10012,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU1002,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Trechisporales; f__unidentified; g__unidentified,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Trechisporales, f__unidentified, g__unidentified
OTU1003,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__Dothideomycetes, o__unidentified, f__unidentified, g__unidentified
OTU10031,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Chaetomium,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Sordariales, f__Chaetomiaceae, g__Chaetomium
