,id,wells,reps,depth,Land_use,Treatment,Clay,Silt,Sand,SM,pH,soil_Ca,soil_Mg,soil_K,soil_Na,soil_Cl,soil_SO4,soil_HCO3,SOC,STN,avaP,BG,CB,NAG,ALP
1,s001.rep1.d1,s001,rep1,0-10cm,Plantation,Plantation_non-adjacent,0.0018,0.1508,0.8474,0.0395,7.82,3.097,0.182,0.055,2.31,4.577,4.05,0.1,2.071747901,0.202217562,2.211527703,5.65,0.22,0.45,7.58
2,s001.rep2.d1,s001,rep2,0-10cm,Plantation,Plantation_non-adjacent,0.0018,0.1517,0.8465,0.00599,8.57,0.587,1.772,0.306,3.702,20.807,3.794,0.12,2.716576462,0.217054238,2.964620764,0.37,0.16,0.38,3.58
3,s001.rep3.d1,s001,rep3,0-10cm,Plantation,Plantation_non-adjacent,0.0011,0.0979,0.901,0.02875,8.25,2.488,0.371,0.097,2.251,4.668,4.306,0.1,2.951690444,0.146465776,2.292216245,0.98,0.17,0.68,14.56
4,s001.rep1.d2,s001,rep1,10-20cm,Plantation,Plantation_non-adjacent,3e-04,0.0369,0.9628,0.01215,7.8,2.478,0.156,0.034,1.988,2.091,4.793,0.08,1.310097508,0.155894891,1.633259817,0.45,0.12,0.35,3.43
5,s001.rep2.d2,s001,rep2,10-20cm,Plantation,Plantation_non-adjacent,9e-04,0.0888,0.9103,0.04141,7.98,2.403,0.743,0.145,2.316,7.336,5.229,0.11,1.074973002,0.171286131,1.902221625,0.84,0.15,0.43,3.66
6,s001.rep3.d2,s001,rep3,10-20cm,Plantation,Plantation_non-adjacent,3e-04,0.0239,0.9758,0.03299,7.84,1.228,0.163,0.033,1.545,1.475,3.999,0.07,1.457,0.112031565,0.920511027,0.95,0.17,0.39,9.84
7,s001.rep1.d3,s001,rep1,20-40cm,Plantation,Plantation_non-adjacent,3e-04,0.0236,0.9761,0.01837,7.96,0.436,0.123,0.031,1.177,1.601,1.766,0.06,0.754,0.081,1.946,0.65,0.14,0.42,7.05
8,s001.rep2.d3,s001,rep2,20-40cm,Plantation,Plantation_non-adjacent,5e-04,0.0714,0.928,0.02642,7.98,0.436,0.125,0.031,1.12,1.776,1.759,0.05,0.794,0.099,1.946,1.7,0.2,0.47,3.74
9,s001.rep3.d3,s001,rep3,20-40cm,Plantation,Plantation_non-adjacent,1e-04,0.0098,0.9901,0.03055,7.99,0.436,0.126,0.032,1.169,1.731,1.772,0.05,0.727,0.089,1.8,0.81,0.17,0.42,8.08
10,s001.rep1.d4,s001,rep1,40-60cm,Plantation,Plantation_non-adjacent,4e-04,0.0209,0.9787,0.03719,7.94,0.218,0.066,0.027,0.826,0.95,1.007,0.066,0.618,0.082,1.668,1.29,0.16,0.35,7.91
